smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CCC[n+]1ccn(C)c1.F[B-](F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,BF4,F[B-](F)(F)F,211.99899999999994
CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,PF6,F[P-](F)(F)(F)(F)F,270.1569999999999
CCC[n+]1ccn(C)c1.[Cl-],IM-C1-C3,CCC[n+]1ccn(C)c1,Cl,[Cl-],160.64799999999997
CCC[n+]1ccn(C)c1.[Br-],IM-C1-C3,CCC[n+]1ccn(C)c1,Br,[Br-],205.09899999999996
CCC[n+]1ccn(C)c1.N#C[N-]C#N,IM-C1-C3,CCC[n+]1ccn(C)c1,DCA,N#C[N-]C#N,191.23799999999997
CCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,IM-C1-C3,CCC[n+]1ccn(C)c1,TCM,[C-](C#N)(C#N)C#N,215.25999999999996
CC(=O)[O-].CCC[n+]1ccn(C)c1,IM-C1-C3,CCC[n+]1ccn(C)c1,OAc,CC([O-])=O,184.23899999999995
CCC[n+]1ccn(C)c1.N#C[S-],IM-C1-C3,CCC[n+]1ccn(C)c1,SCN,[S-]C#N,183.27999999999997
CCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,NO3,[O-][N+]([O-])=O,187.19899999999996
CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,274.26399999999995
CCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,EtSO4,CCOS([O-])(=O)=O,250.31999999999994
CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,MeSO4,COS([O-])(=O)=O,236.29299999999995
CCC[n+]1ccn(C)c1.O=S(=O)([O-])O,IM-C1-C3,CCC[n+]1ccn(C)c1,HSO4,[O-]S(O)(=O)=O,222.26599999999996
CCC[n+]1ccn(C)c1.NCC(=O)[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,Gly,[NH2]CC([O-])=O,199.25399999999993
CCC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,IM-C1-C3,CCC[n+]1ccn(C)c1,Pro,[O-]C(=O)C1CCCN1,239.31899999999993
CC(O)C(=O)[O-].CCC[n+]1ccn(C)c1,IM-C1-C3,CCC[n+]1ccn(C)c1,Lac,CC(O)C([O-])=O,214.26499999999996
CCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,TFA,[O-]C(=O)C(F)(F)F,238.20899999999992
CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,505.356
CCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C3,CCC[n+]1ccn(C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,305.328
CCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C3,CCC[n+]1ccn(C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,240.07899999999998
CCC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,IM-C1-C3,CCC[n+]1ccn(C)c1,DEP,CCOP([O-])(=O)OCC,278.289
CCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,MeSO3,CS([O-])(=O)=O,220.29399999999995
