temperature_K,pressure_bar
320.69,1.0
322.29,1.0
323.12,1.005
323.90999999999997,1.0
324.72,1.0
325.945,1.0
327.175,1.0
328.015,1.0
328.77,1.0
329.97,1.0
331.155,1.0
331.95500000000004,1.0
333.15,1.0
333.955,1.0
335.15999999999997,1.0
335.96500000000003,1.0
336.76,1.0
338.075,1.0
339.165,1.0
339.97,1.0
340.775,1.0
341.98,1.0
343.16,1.0
344.02,1.0
344.83500000000004,1.0
345.7,1.0
347.2,1.0
348.07,1.0
348.87,1.0
350.065,1.0
351.24,1.0
352.03999999999996,1.0
353.005,1.005
354.03,1.0
355.23,1.0
356.025,1.0
356.83,1.0
358.03499999999997,1.0
359.24,1.0
360.04,1.0
360.845,1.0
362.04999999999995,1.0
363.20550000000003,1.005
364.06,1.0
364.86,1.0
366.07000000000005,1.0
367.27,1.0
368.07,1.0
368.88,1.0
370.08500000000004,1.0
371.29,1.0
372.085,1.0
373.02,1.005
374.09000000000003,1.0
375.28999999999996,1.0
376.09,1.0
376.91,1.0
377.71,1.0
378.90999999999997,1.0
380.12,1.0
380.915,1.0
381.72,1.0
382.92999999999995,1.0
384.13,1.0
384.94,1.0
385.74,1.0
386.95000000000005,1.0
388.15,1.0
388.96,1.0
389.76,1.0
390.96000000000004,1.0
392.17,1.0
392.96,1.0
393.76,1.0
394.96500000000003,1.0
396.17,1.0
396.975,1.0
397.78,1.0
398.985,1.0
400.19,1.0
400.99,1.0
401.8,1.0
403.005,1.0
404.21,1.0
405.01,1.0
405.82,1.0
407.015,1.0
408.22,1.0
409.03,1.0
409.83,1.0
411.03499999999997,1.0
412.245,1.0
