smiles,log_density
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1141.05
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1118.0
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1111.7
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1108.4
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1105.1
CCC(=O)[O-].C[N+](C)(C)CCO,1142.0500000000002
CCC(=O)[O-].C[N+](C)(C)CCO,1138.85
CCC(=O)[O-].C[N+](C)(C)CCO,1135.75
CCC(=O)[O-].C[N+](C)(C)CCO,1132.65
CCC(=O)[O-].C[N+](C)(C)CCO,1160.0
CCC(=O)[O-].C[N+](C)(C)CCO,1129.55
CCC(=O)[O-].C[N+](C)(C)CCO,1126.35
CCC(=O)[O-].C[N+](C)(C)CCO,1123.25
CCC(=O)[O-].C[N+](C)(C)CCO,1120.15
CCC(=O)[O-].C[N+](C)(C)CCO,1150.5
CCC(=O)[O-].C[N+](C)(C)CCO,1117.1999999999998
CCC(=O)[O-].C[N+](C)(C)CCO,1114.1999999999998
CCC(=O)[O-].C[N+](C)(C)CCO,1111.2
CCC(=O)[O-].C[N+](C)(C)CCO,1109.3
CCC(=O)[O-].C[N+](C)(C)CCO,1139.5
CCC(=O)[O-].C[N+](C)(C)CCO,1106.4
CCC(=O)[O-].C[N+](C)(C)CCO,1129.0
CCC(=O)[O-].C[N+](C)(C)CCO,1119.0
CCC(=O)[O-].Cn1cc[nH+]c1,1041.25
CCC(=O)[O-].Cn1cc[nH+]c1,1038.19
CCC(=O)[O-].Cn1cc[nH+]c1,1035.27
CCC(=O)[O-].Cn1cc[nH+]c1,1032.25
CCC(=O)[O-].Cn1cc[nH+]c1,1029.31
CCC(=O)[O-].Cn1cc[nH+]c1,1026.28
CCC(=O)[O-].Cn1cc[nH+]c1,1023.21
CCC(=O)[O-].Cn1cc[nH+]c1,1020.14
CCC(=O)[O-].Cn1cc[nH+]c1,1017.06
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1207.4
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1203.2
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1218.6
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1194.6
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1190.3
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1188.6
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1192.5
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1181.6
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1179.65
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,1178.05
